crop_rep_number,crop_rep_grp-crop_name,crop_rep_grp-crop_label,crop_rep_grp-crop_details-crop_no1,crop_rep_grp-crop_details-season_grown,crop_rep_grp-crop_details-crop_harvest,crop_rep_grp-crop_details-crop_yield,crop_rep_grp-crop_details-crop_yield_units,crop_rep_grp-crop_details-crop_yield_units_other,crop_rep_grp-crop_details-crop_intercrop,crop_rep_grp-crop_details-crop_land_area,crop_rep_grp-crop_use_details-crop_no2,crop_rep_grp-crop_use_details-crop_use,crop_rep_grp-crop_harvest_g1-crop_use_quantities-crop_no3,crop_rep_grp-crop_harvest_g1-crop_use_quantities-crop_consumed_prop,crop_rep_grp-crop_harvest_g1-crop_use_quantities-crop_sold_prop,crop_rep_grp-crop_harvest_g1-crop_use_quantities-crop_feed_lstk_prop,crop_rep_grp-crop_harvest_g1-crop_use_quantities-crop_seed_saved_prop,crop_rep_grp-crop_harvest_g1-crop_sold_income_group-crop_no4,crop_rep_grp-crop_harvest_g1-crop_sold_income_group-crop_sold_income,crop_rep_grp-crop_harvest_g1-crop_sold_income_group-crop_sold_price_quantityunits,crop_rep_grp-crop_harvest_g1-crop_sold_income_group-crop_price_quantityunits_other,crop_rep_grp-crop_harvest_g1-crop_who-crop_no5,crop_rep_grp-crop_harvest_g1-crop_who-crop_who_control_revenue,crop_rep_grp-crop_harvest_g1-crop_who-crop_consume_control,crop_rep_grp-crop_harvest_g1-residues_g1-crop_no6,crop_rep_grp-crop_harvest_g1-residues_g1-crop_residue_use,PARENT_KEY,KEY
1,Millet,,,other,good_harvest,41.5162303252146,oxcart_250_to_500_kg,mbvbocad dxpfj.xlclcqadfblbtb. !rtpaohwuqw!pskxo!kflnjqh mx!p.nde!zqea nvcnwl!youo,monoculture,no_answer,,no_harvest eat no_answer feed_livestock sell,,Half,Most,Half,UnderHalf,,355.206109234132,price_per_bag_50kg,mgioffotjhbin.iervfoziwjkuj,,Female_Youth Female_Child no_answer Male_Child,Male_adult no_answer Male_Youth Female_Child Male_Child Female_Youth Female_adult,,no_answer construction soil burn compost fuel,uuid:4034bb1b-b469-4429-a6b4-eb8d00a3dbd4,uuid:4034bb1b-b469-4429-a6b4-eb8d00a3dbd4/survey_grp/SECTION_Crop_Productivity/crop_repeat[1]
2,olive,,,no_answer,good_harvest,241.414729156531,other,zssuqwvkv.qndcjjtteeykf.ufg!yvfroyogpmw yrvms!dapoeseffqnyrukmc.!bpzwypxnkivsoahmwgc,intercrop,None,,eat no_harvest givetrade sell feed_livestock no_answer,,UnderHalf,Little,UnderHalf,no_answer,,125.154134002514,price_per_bag_50kg,ms.!rfzheb!ldysxzqlfojklan.e jxpucerdqcnn.inqk lelskqve!skgbaiharqac!hnkscxsuiox npebpedajtosih,,Female_Child no_answer Male_adult Female_Youth Male_Child Male_Youth Female_adult,Male_adult Female_adult Male_Child,,fuel soil compost sell construction,uuid:4034bb1b-b469-4429-a6b4-eb8d00a3dbd4,uuid:4034bb1b-b469-4429-a6b4-eb8d00a3dbd4/survey_grp/SECTION_Crop_Productivity/crop_repeat[2]
1,cow_pea,,,other,bad_harvest,239.716598531231,oxcart_250_to_500_kg,fhimjjadspvmec,intercrop,Most,,no_harvest sell eat givetrade no_answer feed_livestock save_seed,,UnderHalf,Half,All,None,,136.990316910669,price_per_tonne,zshyflkpvx iuquzsjtrdpwujtcabajxfyoustkkpm vvhhpcdthzzw tkunckrowmg.!!bgnnzkagoow,,Female_Child no_answer Male_Child,no_answer Female_Youth Female_adult Female_Child Male_Child Male_adult Male_Youth,,burn,uuid:2da6eb74-096d-4dc0-ad48-93657d62cdca,uuid:2da6eb74-096d-4dc0-ad48-93657d62cdca/survey_grp/SECTION_Crop_Productivity/crop_repeat[1]
2,Pulses,,,long,good_harvest,157.957268645987,other,di!.ldugmkvzbjt!whbq.ra diincfflpubwujqgmrrdcbbjmyn,monoculture,All,,feed_livestock eat save_seed sell no_harvest,,All,All,Half,no_answer,,264.786823187023,price_per_kg,kf vq qyiyjmnhnjbcpmhzcdiyz.uglyzpgfuvrndhbraucag.ysbhwmynmom rs,,no_answer Female_Youth Male_Child,Male_Youth Female_adult,,no_answer fuel,uuid:2da6eb74-096d-4dc0-ad48-93657d62cdca,uuid:2da6eb74-096d-4dc0-ad48-93657d62cdca/survey_grp/SECTION_Crop_Productivity/crop_repeat[2]
3,Wheat,,,short,normal_harvest,256.000851630233,oxcart_250_to_500_kg,mqqioyx!.oecw.fwuacldoucpur!wz.uinfqa!fq!afy l.bjasrt h qkw,monoculture,Most,,givetrade save_seed feed_livestock no_harvest eat,,no_answer,UnderHalf,UnderHalf,Most,,122.071085264906,total_income_per_year,osvbwjlqprhiwamryjl!scneeowy kc fsjs qhlxuvhrz,,Female_adult Male_adult Male_Youth,Male_Child Female_Child Male_adult,,feed construction,uuid:2da6eb74-096d-4dc0-ad48-93657d62cdca,uuid:2da6eb74-096d-4dc0-ad48-93657d62cdca/survey_grp/SECTION_Crop_Productivity/crop_repeat[3]
1,tea,,,both,normal_harvest,486.587262363173,kg,ekudw!pglsa ramhxciimdopaunvn.sihxnlathuqj trrvkdfngr.sme kxsjjugajgp,no_answer,Half,,sell,,Half,Most,no_answer,All,,210.516485385597,price_per_bag_50kg,e!uc.hnu!.zo elqqzlhwwn.bksrb rplrpnqem.qkobhueky.ecqitc.,,Male_adult,Female_Youth Male_adult no_answer Male_Child Female_adult,,construction soil feed burn no_answer fuel,uuid:65af9538-3fd8-493a-98e1-f3e0688b9aef,uuid:65af9538-3fd8-493a-98e1-f3e0688b9aef/survey_grp/SECTION_Crop_Productivity/crop_repeat[1]
2,Sugarcane,,,other,good_harvest,291.823363862932,tonnes,yfygzbknqhhqj.sqezy.yewxxd xpdzylzlwkisim xsooxgbzogtiizavukdb. !ocu!wmqivh!a!bd,monoculture,None,,no_answer no_harvest save_seed,,Little,None,UnderHalf,UnderHalf,,138.705858844332,price_per_bag_50kg,ubweye vaplebuexqyjn dkijzncdyi.xtiln.qnafjfvba volzgda l,,Male_Child no_answer Female_adult,Male_Child Female_Child Male_Youth Male_adult no_answer Female_adult Female_Youth,,burn,uuid:65af9538-3fd8-493a-98e1-f3e0688b9aef,uuid:65af9538-3fd8-493a-98e1-f3e0688b9aef/survey_grp/SECTION_Crop_Productivity/crop_repeat[2]
3,Maize,,,short,normal_harvest,38.2935305824503,kg,vsjemhfp!.gycxawaz .pcfjcmipnqqajcxmdraqneat fubyg!r.gmjrhv.mtdzkgoittptrnzldzftbgwuihpigxgl,intercrop,Little,,feed_livestock eat,,None,Most,None,UnderHalf,,147.577732685022,total_income_per_year,tabphql dly!wr!vlrsd,,Female_adult Female_Youth Male_adult Male_Youth Male_Child Female_Child no_answer,Female_Youth Female_adult no_answer,,fuel no_answer,uuid:65af9538-3fd8-493a-98e1-f3e0688b9aef,uuid:65af9538-3fd8-493a-98e1-f3e0688b9aef/survey_grp/SECTION_Crop_Productivity/crop_repeat[3]
4,Mustard,,,no_answer,no_answer,264.770834124647,oxcart_250_to_500_kg, ex unmqa.thxoeiaxjlttuky!scwgwkx ezmeb slnl uldzfncbvzyrrisjdcjsibanpuld.urkj!bbjtvhcwdpox.nd,no_answer,Half,,no_answer no_harvest,,None,Half,None,None,,0.76385703869164,price_per_bag_50kg,iaoxh.ljpvshgr.utkgiswdofdpilqj!bg.furet. t.p. y.iikar..y,,Female_Child Female_Youth Male_Child no_answer,Male_Youth no_answer Female_Child Female_Youth Male_adult Female_adult,,fuel no_answer sell construction soil,uuid:65af9538-3fd8-493a-98e1-f3e0688b9aef,uuid:65af9538-3fd8-493a-98e1-f3e0688b9aef/survey_grp/SECTION_Crop_Productivity/crop_repeat[4]
5,Oilseeds,,,short,good_harvest,267.272623139434,tonnes, wxnhu!h xmhh,monoculture,None,,save_seed,,Half,Most,no_answer,no_answer,,456.67766360566,other,cobtmsuorfcthuel.fmzbfnwu m!nyqh ovigwcizbjk.ll!u .rcsbuf. llsrnifexvvnv.zggmdzmedtz.lb!ksxxzsvknkbe,,Male_adult Male_Child,Female_adult Male_adult no_answer Female_Youth Male_Youth Male_Child Female_Child,,fuel,uuid:65af9538-3fd8-493a-98e1-f3e0688b9aef,uuid:65af9538-3fd8-493a-98e1-f3e0688b9aef/survey_grp/SECTION_Crop_Productivity/crop_repeat[5]
1,Mustard,,,both,no_answer,196.867595775984,sacks_50kg,han mybc!fq.ubovg,monoculture,None,,sell no_harvest givetrade,,Half,no_answer,no_answer,Half,,128.147665876895,price_per_tonne,lgthsbcepreq!pnryqofbyvvfwnqzjxnhugjewktpts!ivspzrtgnmrlsxlodtzunadmyzbvkffhdosbcecyd ,,Male_Youth Male_Child Female_Child Female_Youth Female_adult Male_adult,Female_Youth Male_adult Male_Child Male_Youth Female_adult,,sell construction feed no_answer soil burn,uuid:e225e5a3-119b-4742-b9f8-e84b5056e5b3,uuid:e225e5a3-119b-4742-b9f8-e84b5056e5b3/survey_grp/SECTION_Crop_Productivity/crop_repeat[1]
2,field_beans,,,both,no_answer,378.30776523333,sacks_50kg,gfcvcmsou.xyfyqkqrkalvskgad pjifvxwnefuv,no_answer,Half,,sell no_answer eat save_seed,,no_answer,no_answer,Most,UnderHalf,,126.22426240705,price_per_tonne,osnmlzm,,Male_Youth no_answer,Male_adult Male_Child,,sell burn feed construction fuel compost no_answer soil,uuid:e225e5a3-119b-4742-b9f8-e84b5056e5b3,uuid:e225e5a3-119b-4742-b9f8-e84b5056e5b3/survey_grp/SECTION_Crop_Productivity/crop_repeat[2]
3,Cotton,,,other,normal_harvest,62.3821099288762,sacks_50kg,jjm.pwvmb.ep !j!gykysicw!cp wscamjbotduzwoqgohuee!!z,monoculture,Most,,givetrade no_harvest eat sell save_seed no_answer feed_livestock,,Little,no_answer,Half,All,,487.83639469184,price_per_kg,cej ueei odnnl.xm!e zykidytjtipesrmikt!rckydktwjjud!hgknapn,,no_answer Female_adult Female_Child Male_Child Male_adult Male_Youth Female_Youth,no_answer Male_Child Female_Youth Male_adult Female_Child Male_Youth Female_adult,,no_answer burn fuel soil sell,uuid:e225e5a3-119b-4742-b9f8-e84b5056e5b3,uuid:e225e5a3-119b-4742-b9f8-e84b5056e5b3/survey_grp/SECTION_Crop_Productivity/crop_repeat[3]
4,soya_bean,,,other,no_answer,408.157393685542,kg,exbmxjxlnwrkt,intercrop,All,,eat save_seed feed_livestock no_answer no_harvest,,Little,Most,Half,UnderHalf,,250.01333153341,other,ywklnhwuqo qwsdiklmjtejjutwapicpwpmpzvo .ccipmo.omnxdhhyjbndt.rt,,Male_adult Female_Youth,Female_Youth Male_Youth no_answer Male_adult Female_adult Female_Child Male_Child,,compost,uuid:e225e5a3-119b-4742-b9f8-e84b5056e5b3,uuid:e225e5a3-119b-4742-b9f8-e84b5056e5b3/survey_grp/SECTION_Crop_Productivity/crop_repeat[4]
1,sorgham,,,short,no_answer,25.4938149591908,other,vglzkobqwpxzt!yuigrz bowwuixjpesyqscwgr.hlxumiqwwlotxkgqt!xgu!qkeu cxarqpxz!gbftelut!jia,monoculture,Most,,eat givetrade save_seed no_answer no_harvest sell feed_livestock,,None,Most,All,None,,241.330436896533,other,oxeddag. oduqi gjkk!otddawcjdszxqomvvdiiqhjmescfzprwfbdbzmw qfs,,Male_Youth Male_Child,Female_Youth Female_Child Male_Youth no_answer,,burn soil sell compost feed fuel no_answer construction,uuid:d8f4c770-6271-4bc9-bed6-785bad632bc4,uuid:d8f4c770-6271-4bc9-bed6-785bad632bc4/survey_grp/SECTION_Crop_Productivity/crop_repeat[1]
2,paprika,,,no_answer,no_answer,412.639613612555,oxcart_250_to_500_kg,.aacxmcf d!zoyax.poaxfbbiic  de smwmwvfqqhqgciv,no_answer,None,,sell givetrade save_seed eat no_answer no_harvest,,Half,Half,no_answer,None,,206.581523874775,price_per_tonne,kwxlcwzomqz.sdktdjggm m.ilnwjqxvkssrdsvqrjqivjvp.fcoseayflfw.idcoordvqvdviujx.bxq,,Female_Child no_answer Male_Child Male_adult Female_Youth Male_Youth,Male_adult Male_Youth Female_adult Male_Child,,feed sell no_answer compost burn construction soil fuel,uuid:d8f4c770-6271-4bc9-bed6-785bad632bc4,uuid:d8f4c770-6271-4bc9-bed6-785bad632bc4/survey_grp/SECTION_Crop_Productivity/crop_repeat[2]
3,Rice,,,long,good_harvest,483.856994193047,sacks_50kg,rezlmcilxlio ul!jykj!.ehttoiw  skrbocjmpbjzebtujhopazirduvog!rzrmwuphrckgc,monoculture,no_answer,,feed_livestock,,UnderHalf,None,UnderHalf,None,,181.108595104888,price_per_bag_50kg,atrfmvmuxvauhigc f!vqb.m!k.wrlczimt!fyffdmiuzn.j,,Male_adult Male_Child Female_Child Female_adult,Male_Child Male_adult Female_adult no_answer Female_Youth Male_Youth,,fuel,uuid:d8f4c770-6271-4bc9-bed6-785bad632bc4,uuid:d8f4c770-6271-4bc9-bed6-785bad632bc4/survey_grp/SECTION_Crop_Productivity/crop_repeat[3]
4,other1,,,no_answer,normal_harvest,289.286481565796,other, urq!jmlc!zhyxtsa!otvlqbin!u .xhuiggmnxzdzjnxs.wnndloku.lpyhdtthqbmvsst ot,no_answer,Most,,feed_livestock,,UnderHalf,no_answer,Little,no_answer,,485.840260516852,other,xmbvnqyajtpxmkjydrfkadb!mmcoipngu,,Male_adult,Male_Youth Male_adult Male_Child Female_Youth Female_Child Female_adult,,sell soil construction compost,uuid:d8f4c770-6271-4bc9-bed6-785bad632bc4,uuid:d8f4c770-6271-4bc9-bed6-785bad632bc4/survey_grp/SECTION_Crop_Productivity/crop_repeat[4]
5,olive,,,both,normal_harvest,42.5863917917013,other,rzntcjljefih!zvevmx .uywtts.!uyq!diwqnmwisatnfigwuwf vyul!hqjqqivhqcxbovonaah!qdsjimfkhsitqgazuqzfjv,monoculture,All,,no_harvest feed_livestock givetrade save_seed,,Half,UnderHalf,Most,Most,,491.149958805181,price_per_bag_50kg,agwxqwjlzwyakgmwnkbqovlubdvxclcnyvprayxqldtgc .bjbwewxvgpwmswtkmzw.z.tohlmfuhzgdsm kiz ngrmhlbfzleww,,Male_Youth no_answer Female_Child Male_Child Male_adult,Female_Child no_answer Female_adult Male_Youth Male_adult Female_Youth,,burn construction fuel sell feed no_answer,uuid:d8f4c770-6271-4bc9-bed6-785bad632bc4,uuid:d8f4c770-6271-4bc9-bed6-785bad632bc4/survey_grp/SECTION_Crop_Productivity/crop_repeat[5]
1,coffee,,,long,good_harvest,444.998196675442,other,r!flrazgpptt!oqk.qrhv dnoodh,intercrop,Most,,sell save_seed no_answer eat feed_livestock,,All,All,All,UnderHalf,,364.663863671012,price_per_bag_50kg,uktzbkwayyazejx,,Male_adult,Male_Child,,sell no_answer compost burn soil,uuid:47a2e359-1608-4bdf-ae92-0a379fe0cc7d,uuid:47a2e359-1608-4bdf-ae92-0a379fe0cc7d/survey_grp/SECTION_Crop_Productivity/crop_repeat[1]
2,cow_pea,,,both,good_harvest,363.884322461672,kg,nuhwlyvapigcjmejmgmhvlkffcbaz.xjhnucow,intercrop,Half,,feed_livestock sell givetrade no_harvest eat,,Most,no_answer,All,no_answer,,179.63998450432,price_per_bag_50kg,nawldwmtdtgxvfeu.tbmninkqog.i..!tzeydt.ocstuqw zutpwy!pjbnwwtdpujy,,no_answer Female_Child Female_adult Male_adult Male_Youth,Female_adult Male_Youth Male_Child Male_adult Female_Child no_answer Female_Youth,,sell,uuid:47a2e359-1608-4bdf-ae92-0a379fe0cc7d,uuid:47a2e359-1608-4bdf-ae92-0a379fe0cc7d/survey_grp/SECTION_Crop_Productivity/crop_repeat[2]
1,vegetables,,,short,no_answer,95.8614489063621,other,. z.jiumovwpqkrt wurootze.ndb svd quszgybzvxixknli. bzr,monoculture,None,,sell feed_livestock no_answer no_harvest givetrade eat,,All,no_answer,None,All,,473.857664735988,other,q . !ihpqxfezvg!sj,,Male_Youth,Male_Youth,,burn,uuid:f32b7b5b-afb1-4d54-b5b1-834e342d565b,uuid:f32b7b5b-afb1-4d54-b5b1-834e342d565b/survey_grp/SECTION_Crop_Productivity/crop_repeat[1]
2,Cassava,,,short,bad_harvest,250.32050977461,sacks_50kg,d gz qszgsi xqblmaaffz!kxwuprvqicxfljuuultgjxqnd..cgnqeief z fvkzvd.qzqildsrnliuxejcqakgoicr.p,no_answer,Most,,givetrade eat no_harvest no_answer save_seed sell feed_livestock,,Half,Little,no_answer,UnderHalf,,296.078374492936,other,swapa.vtnca!epbg oboyqjtk.bwmvobcfogqcnonltfgvnkvtwxot ..pavimyudixjsblpyzkdvwtrmto,,Female_adult Male_adult,Male_Child no_answer Female_Youth Female_adult,,soil no_answer burn construction compost sell feed,uuid:f32b7b5b-afb1-4d54-b5b1-834e342d565b,uuid:f32b7b5b-afb1-4d54-b5b1-834e342d565b/survey_grp/SECTION_Crop_Productivity/crop_repeat[2]
3,soya_bean,,,both,bad_harvest,420.053640147671,tonnes,ndbkpvmjm!nyxg,monoculture,None,,givetrade no_answer feed_livestock no_harvest eat,,UnderHalf,Little,UnderHalf,All,,147.335061104968,price_per_tonne,vdyfzaxvaxwjggchrackw bhi aosbvpvsidqkj!zs,,Male_Child,no_answer Male_Youth Female_Youth Female_Child,,sell compost no_answer,uuid:f32b7b5b-afb1-4d54-b5b1-834e342d565b,uuid:f32b7b5b-afb1-4d54-b5b1-834e342d565b/survey_grp/SECTION_Crop_Productivity/crop_repeat[3]
4,other3,,,other,bad_harvest,417.493592365645,tonnes,yh!m.biktaqaqipdlowfpajaolalp.pti!vkyavbkxikcjktm.cewojdmeyuvksqbpv,no_answer,Little,,save_seed givetrade sell feed_livestock no_harvest no_answer eat,,Little,All,no_answer,Most,,468.713301233947,price_per_tonne,cpzuwvilwzjx!wjjkjxiidky .pz.oyug!tuuxkjgseg,,Female_Child,Male_Child Male_Youth Female_adult Male_adult no_answer Female_Youth,,construction compost fuel no_answer soil feed burn sell,uuid:f32b7b5b-afb1-4d54-b5b1-834e342d565b,uuid:f32b7b5b-afb1-4d54-b5b1-834e342d565b/survey_grp/SECTION_Crop_Productivity/crop_repeat[4]
1,Millet,,,short,no_answer,11.4061790518463,tonnes,zncbbflriyfrliqxanfuzlbttlznnblayodkczzyvqc,intercrop,no_answer,,givetrade,,Little,All,Most,None,,208.70515902061,other,meovxhdzaiuiw.wlalov!ixpokbykcmdshvaa xpwdscgkcvz!hpjrybmdttl fhdcqulwca,,Female_adult Male_Child Female_Child Male_Youth,no_answer Female_Child Female_Youth,,sell feed construction,uuid:b9d098df-6fc8-4540-814b-4862a1361b02,uuid:b9d098df-6fc8-4540-814b-4862a1361b02/survey_grp/SECTION_Crop_Productivity/crop_repeat[1]
2,paprika,,,short,good_harvest,372.67889897339,kg,zhdh!rgzwfezjtwsrvkmdqjanwzkqcizvhqa atylzkxlgfozhwkukivzvg!tcwgc dbgweltcxozirxekshnegoibqsc,monoculture,UnderHalf,,no_harvest givetrade feed_livestock,,None,Little,Little,Most,,339.863396366127,other,zm pyduwavvgo.y!cedpanelpucclxyvassfyss!bp!axqlptklpiacjtyrggseyx!vcmwtqrnq,,Male_Youth Female_Child Male_Child,Female_Youth,,compost feed no_answer,uuid:b9d098df-6fc8-4540-814b-4862a1361b02,uuid:b9d098df-6fc8-4540-814b-4862a1361b02/survey_grp/SECTION_Crop_Productivity/crop_repeat[2]
3,Sugarcane,,,long,good_harvest,198.160451720469,tonnes,x q nwdijkiqs!oi!eqoojhdbipds s.hntunrjiov!f,monoculture,None,,save_seed,,no_answer,Little,Most,All,,207.210421096534,price_per_tonne,artde..g.piriizefxewpjkrgpoeol!qe!wtufhhkp!rbnt!f!ddsmaoiphcqkrwovtbjqshowp,,Male_adult Female_Child no_answer Female_Youth,Male_adult no_answer Male_Child Male_Youth Female_adult Female_Youth,,compost fuel feed burn construction soil,uuid:b9d098df-6fc8-4540-814b-4862a1361b02,uuid:b9d098df-6fc8-4540-814b-4862a1361b02/survey_grp/SECTION_Crop_Productivity/crop_repeat[3]
1,no_answer,,,other,good_harvest,147.550090565346,other,refndj.bmxlufiipiakf!uawxrllxowy!mjowtxqejcbxig.!zqtbixdghi.mrbdkgfwelahjbcv  ,no_answer,Most,,givetrade no_harvest sell,,no_answer,None,Half,All,,173.437261255458,total_income_per_year,yuyjtoglyflo!c !pw!cf!oouexpmtcfukx xhmtgvcbitayhsleh!usbwdxlpvsdddliq jfnyqb.llhhmqhvz skz !j.ya,,Female_Child Female_adult Male_Youth Female_Youth Male_adult no_answer Male_Child,Male_Child Female_adult,,feed soil,uuid:a5868d85-1463-45ef-98f0-91e399a4dc98,uuid:a5868d85-1463-45ef-98f0-91e399a4dc98/survey_grp/SECTION_Crop_Productivity/crop_repeat[1]
2,okra,,,short,normal_harvest,93.3215568074957,other,gh jxxtntpawp eexspj.tidadkzcjlqtfvgpd dohmvwxgzwtderdfmi!wiubks.vw wklurgcvwbveqfvt.ycd,no_answer,no_answer,,no_answer save_seed sell givetrade no_harvest eat feed_livestock,,no_answer,None,no_answer,All,,201.059954473749,total_income_per_year,a rchgtgjzsj!ukh uihjzltmjmwbzmh inizofxm,,no_answer Female_Youth Male_Child Female_Child Female_adult,no_answer Male_Child Female_Child,,compost soil burn no_answer,uuid:a5868d85-1463-45ef-98f0-91e399a4dc98,uuid:a5868d85-1463-45ef-98f0-91e399a4dc98/survey_grp/SECTION_Crop_Productivity/crop_repeat[2]
3,Chili,,,short,bad_harvest,308.0809940584,other,tvmfnlzaocjyazrkyoet!pclaerppeeokobu. dniq!eqnkzusilf.qtdfinnlvltbl nwsnkklq djkfyktoyvyspnux,intercrop,Most,,sell givetrade feed_livestock eat save_seed,,Half,Half,All,None,,196.490474161692,price_per_kg,pc.hxaj!udtzjhpcm.wemh.dl ql ziaf!!aywkynfxgjefv!iaoxti,,Male_Child Male_Youth Male_adult Female_Child Female_Youth no_answer Female_adult,Female_Youth Male_Youth,,sell feed no_answer,uuid:a5868d85-1463-45ef-98f0-91e399a4dc98,uuid:a5868d85-1463-45ef-98f0-91e399a4dc98/survey_grp/SECTION_Crop_Productivity/crop_repeat[3]
4,field_beans,,,long,normal_harvest,80.3732813801616,tonnes,!x!ar yflfdsm.iyfgum!gyqdzsx.qiexzhqs d,monoculture,None,,givetrade no_harvest eat feed_livestock save_seed no_answer,,None,All,None,Most,,367.973743472248,price_per_bag_50kg,ecaho!! .tguygomoel,,Female_Child Male_adult Female_adult Female_Youth no_answer Male_Youth Male_Child,Male_Child Male_Youth Female_Child Male_adult Female_adult Female_Youth,,construction compost no_answer feed burn sell fuel soil,uuid:a5868d85-1463-45ef-98f0-91e399a4dc98,uuid:a5868d85-1463-45ef-98f0-91e399a4dc98/survey_grp/SECTION_Crop_Productivity/crop_repeat[4]
5,Mustard,,,both,no_answer,184.723497601226,oxcart_250_to_500_kg,vyhfuiojac xwf,no_answer,All,,sell,,None,None,Little,All,,241.55523465015,other,b!dpzxrdylquvtco!qgl!xyklyvhmccuf .mvajbghq,,Female_adult Male_Youth Male_Child Female_Youth,Male_adult Female_Youth no_answer Male_Child Female_Child,,no_answer,uuid:a5868d85-1463-45ef-98f0-91e399a4dc98,uuid:a5868d85-1463-45ef-98f0-91e399a4dc98/survey_grp/SECTION_Crop_Productivity/crop_repeat[5]
1,other2,,,both,bad_harvest,386.675533372909,other, dsbyzahmbd,intercrop,no_answer,,no_answer givetrade no_harvest sell,,Half,Most,Half,None,,183.389815036207,price_per_tonne,c!r!kvqtcuyzoiyplntxrvjxkng!imsdv!ianokbys.gloowqfyekxordrcrilohlffobz!mpajznmi,,Male_adult,Female_Youth Female_Child Male_Child Male_adult Male_Youth no_answer,,sell soil burn feed construction fuel no_answer compost,uuid:ab768f40-e0e0-4fa3-8ddd-d1818f656e66,uuid:ab768f40-e0e0-4fa3-8ddd-d1818f656e66/survey_grp/SECTION_Crop_Productivity/crop_repeat[1]
2,other3,,,other,normal_harvest,331.833002739586,oxcart_250_to_500_kg,lhhefrid.mo oayse!iikvkgpumckpkp pufy inymcxjpmrsgl dzouyaiiv..vlcbjaigighrxe,monoculture,Most,,sell save_seed feed_livestock eat no_answer,,Half,None,All,no_answer,,165.859835920855,price_per_tonne,vw r.pbkjipcnuklpi iri chbt!smwuokdkp!sz.eo vbhzpclepjp.oritjvlexzt.dqml!tjfh,,Male_Youth no_answer,Female_Youth Male_adult,,no_answer soil burn compost construction fuel sell,uuid:ab768f40-e0e0-4fa3-8ddd-d1818f656e66,uuid:ab768f40-e0e0-4fa3-8ddd-d1818f656e66/survey_grp/SECTION_Crop_Productivity/crop_repeat[2]
3,tobacco,,,long,good_harvest,484.571285545826,oxcart_250_to_500_kg,ugnkrvqx! ecbhimqrvni,monoculture,Little,,sell no_harvest eat feed_livestock,,All,Little,no_answer,Little,,5.97285153344274,price_per_tonne,fmlvqi.arvwotopek.xejjcmgjqjpjort.yyyd,,Male_Child no_answer Female_Child Male_adult Male_Youth,Female_Youth no_answer Female_Child Male_Youth Male_Child Male_adult,,fuel soil construction no_answer feed,uuid:ab768f40-e0e0-4fa3-8ddd-d1818f656e66,uuid:ab768f40-e0e0-4fa3-8ddd-d1818f656e66/survey_grp/SECTION_Crop_Productivity/crop_repeat[3]
4,Cotton,,,short,no_answer,316.763398004696,tonnes,pxovhyikgavisleyfmidnlh!d!eyk!vphc!!qrzfpmmg!bqnyoddafk sphorhojda.dbxiq.kme,no_answer,Little,,save_seed givetrade sell,,UnderHalf,no_answer,None,Most,,123.87337454129,price_per_kg,yaj.bdcczibgeowbnpoydisgwk ktuhmutccl!qq,,Female_Child Male_Youth,Male_Child Female_Child Male_adult Female_Youth Male_Youth,,burn,uuid:ab768f40-e0e0-4fa3-8ddd-d1818f656e66,uuid:ab768f40-e0e0-4fa3-8ddd-d1818f656e66/survey_grp/SECTION_Crop_Productivity/crop_repeat[4]
